Property_id,Offer,URL,Property_type,Price,Include_w_e,Title,Area,Governorate,Beds,Baths,Size,Availability_date,Agent_name,Agency,Amenities
2122,Buy,https://www.propertyfinder.bh/en/plp/buy/apartment-for-sale-capital-governorate-seef-945610.html,Apartment,"BHD155,000",Exclusive,Seef Freehold 2br apartment with ready to move in,Seef,Capital Governorate,2,3,"1,561 sqft / 145 sqm",16 Aug 2025,Rupal Dhakan,Americana Real Estate W.L.L,14
2123,Buy,https://www.propertyfinder.bh/en/plp/buy/land-for-sale-muharraq-governorate-arad-945607.html,Land,"BHD257,044",Exclusive,HOT DEAL!!! Easy Access - Prime Location,Arad,Muharraq Governorate,0,0,"10,710 sqft / 995 sqm",16 Aug 2025,Ahmed Alkuwaiti,Underhill Real Estate,
2124,Buy,https://www.propertyfinder.bh/en/plp/buy/apartment-for-sale-capital-governorate-reef-island-945604.html,Apartment,"BHD260,000",Exclusive,Spacious Apt with Amazing view and Private balcony,Reef Island,Capital Governorate,3+ Maid,4,"2,422 sqft / 225 sqm",16 Aug 2025,Rupal Dhakan,Americana Real Estate W.L.L,14
2125,Buy,https://www.propertyfinder.bh/en/plp/buy/land-for-sale-northern-governorate-hamala-945601.html,Land,"BHD92,305",Exclusive,RHA Land - Easy Access - Excellent Price,Hamala,Northern Governorate,0,0,"3,186 sqft / 296 sqm",16 Aug 2025,Ahmed Alkuwaiti,Underhill Real Estate,
2126,Buy,https://www.propertyfinder.bh/en/plp/buy/villa-for-sale-capital-governorate-manama-zinj-945598.html,Villa,"BHD380,000",Exclusive,Luxurious - Big Garden - Top Quality - Spacious,"Zinj, Manama",Capital Governorate,5+ Maid,7,"7,040 sqft / 654 sqm",16 Aug 2025,Ahmed Alkuwaiti,Underhill Real Estate,10
2127,Buy,https://www.propertyfinder.bh/en/plp/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-al-sidra-945591.html,Villa,"BHD160,000",Exclusive,New villa for sale in Diyar Al Muharraq,"Al Sidra, Diyar Al Muharraq",Muharraq Governorate,5+ Maid,5,"2,196 sqft / 204 sqm",17 Aug 2025,Mohamed Khaled,Nasser Real Estate Agency,3
2128,Buy,https://www.propertyfinder.bh/en/plp/buy/villa-for-sale-northern-governorate-hamala-945580.html,Villa,"BHD135,000",Exclusive,للبيع فيلا في الهملة قريب الى بتلكو و مجمع الليوان,Hamala,Northern Governorate,3,4,"2,153 sqft / 200 sqm",17 Aug 2025,Mahmood Alastad,Kayan Real Estate,1
2129,Buy,https://www.propertyfinder.bh/en/plp/buy/apartment-for-sale-muharraq-governorate-diyar-al-muharraq-marassi-al-bahrain-945575.html,Apartment,"BHD66,000",Exclusive,"luxury 1-bedroom, HOT DEAL, HIGH ROI, AFFORDABLE","Marassi Al Bahrain, Diyar Al Muharraq",Muharraq Governorate,1,1,807 sqft / 75 sqm,16 Sep 2025,Abdulla Murad,M2 SQUARE METER,9
2130,Buy,https://www.propertyfinder.bh/en/plp/buy/villa-for-sale-northern-governorate-hamala-945565.html,Villa,"BHD320,000",Exclusive,للبيع فيلا فخمة و ذكية في الهملة بتصميم استثنائي,Hamala,Northern Governorate,7+ Maid,7+,"3,714 sqft / 345 sqm",17 Aug 2025,Mahmood Alastad,Kayan Real Estate,13
2131,Buy,https://www.propertyfinder.bh/en/plp/buy/apartment-for-sale-muharraq-governorate-diyar-al-muharraq-marassi-shores-residences-945560.html,Apartment,"BHD105,000",Exclusive,Sea Front Bldg | Rented | Close to the Mall,"Marassi Shores Residences, Diyar Al Muharraq",Muharraq Governorate,2,2,"1,087 sqft / 101 sqm",17 Aug 2025,Mahmoud Marzouk,HighBridge,18
2132,Buy,https://www.propertyfinder.bh/en/plp/buy/villa-for-sale-northern-governorate-hamala-945559.html,Villa,"BHD120,000",Exclusive,"Brand New Villa in Hamala, Phase 6",Hamala,Northern Governorate,4+ Maid,5,"1,862 sqft / 173 sqm",17 Aug 2025,Husain Alghanemi,Union Real Estate,2
2133,Buy,https://www.propertyfinder.bh/en/plp/buy/villa-for-sale-central-governorate-isa-town-945558.html,Villa,"BHD140,000",Exclusive,For Sale – New Villa in Isa Town,Isa Town,Central Governorate,4+ Maid,5,"2,368 sqft / 220 sqm",17 Aug 2025,Husain Alghanemi,Union Real Estate,1
2134,Buy,https://www.propertyfinder.bh/en/plp/buy/land-for-sale-northern-governorate-bu-quwah-945557.html,Land,"BHD103,000",Exclusive,للبيع أرض في أبو قوة التصنيف RB الموقع جدا ممتاز,Bu Quwah,Northern Governorate,0,0,"4,230 sqft / 393 sqm",17 Aug 2025,Ali Alshowaikh,Union Real Estate,
2135,Buy,https://www.propertyfinder.bh/en/plp/buy/apartment-for-sale-capital-governorate-al-juffair-945556.html,Apartment,"BHD52,000",Exclusive,Juffair Heights | Freehold | Amenities | Balcony,Al Juffair,Capital Governorate,1,1,936 sqft / 87 sqm,16 Aug 2025,Lijas Ali,Underhill Real Estate,10
2136,Buy,https://www.propertyfinder.bh/en/plp/buy/apartment-for-sale-muharraq-governorate-dilmunia-island-canal-view-945553.html,Apartment,"BHD75,000",Exclusive,BRAND NEW / FREE HOLD / LUXURY PROJECT,"Canal View, Dilmunia Island",Muharraq Governorate,1,2,969 sqft / 90 sqm,16 Jun 2025,Kristina Rakikji,OKA Real Estate,13
2137,Buy,https://www.propertyfinder.bh/en/plp/buy/villa-for-sale-muharraq-governorate-arad-945550.html,Villa,"BHD295,000",Exclusive,Big - Fully Renovated - Stone Wall Cladding,Arad,Muharraq Governorate,7+ Maid,7+,"6,039 sqft / 561 sqm",16 Aug 2025,Ahmed Alkuwaiti,Underhill Real Estate,6
2138,Buy,https://www.propertyfinder.bh/en/plp/buy/villa-for-sale-muharraq-governorate-amwaj-islands-tala-island-945547.html,Villa,"BHD550,000",Exclusive,STAND ALONE VILLA| GATED COMMUNITY | PRIVATE POOL,"Tala Island, Amwaj Islands",Muharraq Governorate,5+ Maid,7,"6,846 sqft / 636 sqm",17 Aug 2025,Jerry Alcampor,Right Deal Management,18
2139,Buy,https://www.propertyfinder.bh/en/plp/buy/land-for-sale-northern-governorate-bu-quwah-945546.html,Land,"BHD134,000",Exclusive,For Sale Land in Prime Corner Location Buquwah,Bu Quwah,Northern Governorate,0,0,"4,058 sqft / 377 sqm",17 Aug 2025,Ali Almalek,Best Spot Real Estate,
2140,Buy,https://www.propertyfinder.bh/en/plp/buy/apartment-for-sale-capital-governorate-al-juffair-945542.html,Apartment,"BHD63,000",Exclusive,High Floor | Sea and City View | Great Investment,Al Juffair,Capital Governorate,1,2,872 sqft / 81 sqm,17 Aug 2025,Siwar Arfaoui,Agate Real Estate,16
2141,Buy,https://www.propertyfinder.bh/en/plp/buy/villa-for-sale-northern-governorate-saar-945538.html,Villa,"BHD207,000",Exclusive,للبيع فيلا في قلب سرايا 1 بالقرب من مايكرومارت,Saar,Northern Governorate,5+ Maid,7,"3,240 sqft / 301 sqm",17 Aug 2025,Mahmood Alastad,Kayan Real Estate,6
2142,Buy,https://www.propertyfinder.bh/en/plp/buy/land-for-sale-northern-governorate-bu-quwah-945537.html,Land,"BHD92,335",Exclusive,residential land for sale in bu quwwah,Bu Quwah,Northern Governorate,0,0,"3,175 sqft / 295 sqm",17 Aug 2025,Salah Hashem,ASK Real Estate,
2143,Buy,https://www.propertyfinder.bh/en/plp/buy/apartment-for-sale-muharraq-governorate-busaiteen-945531.html,Apartment,"BHD32,000",Exclusive,Comfy | Natural Lights | Modernly Built for You,Busaiteen,Muharraq Governorate,studio,1,334 sqft / 31 sqm,17 Aug 2025,Carlton Real Estate,Carlton Real Estate,5
2144,Buy,https://www.propertyfinder.bh/en/plp/buy/apartment-for-sale-northern-governorate-al-qadam-945530.html,Apartment,"BHD67,000",Exclusive,For Sale Apartment in a Prime Location Al in Qadam,Al Qadam,Northern Governorate,3,2,"1,399 sqft / 130 sqm",17 Aug 2025,Ali Almalek,Best Spot Real Estate,9
2145,Buy,https://www.propertyfinder.bh/en/plp/buy/villa-for-sale-northern-governorate-saar-945529.html,Villa,"BHD260,000",Exclusive,Luxury villa for sale in maqabah,Saar,Northern Governorate,4+ Maid,7,"3,358 sqft / 312 sqm",17 Apr 2025,Mahmood Alastad,Kayan Real Estate,7
2146,Buy,https://www.propertyfinder.bh/en/plp/buy/apartment-for-sale-capital-governorate-al-juffair-945522.html,Apartment,"BHD73,000",Exclusive,Sea View Luxury Two bedroom Apartment,Al Juffair,Capital Governorate,2,3,"1,130 sqft / 105 sqm",7 Jul 2025,MD Washim MD Shamsul Haque Prodhan,Arizona Homes Real Estate,13
2147,Buy,https://www.propertyfinder.bh/en/plp/buy/villa-for-sale-northern-governorate-saar-945514.html,Villa,"BHD235,000",Exclusive,Luxury Renovated Villa for Sale in Saraya 1 – Saar,Saar,Northern Governorate,6,6,"4,585 sqft / 426 sqm",17 Aug 2025,Mohamed Alaynati,Seniors Real Estate,4
2148,Buy,https://www.propertyfinder.bh/en/plp/buy/whole-building-for-sale-capital-governorate-manama-zinj-945510.html,Whole Building,"BHD275,000",Exclusive,Top Quality - Corner 2 Roads @Prime Location,"Zinj, Manama",Capital Governorate,0,7+,"3,337 sqft / 310 sqm",16 Aug 2025,Ahmed Alkuwaiti,Underhill Real Estate,6
2149,Buy,https://www.propertyfinder.bh/en/plp/buy/apartment-for-sale-capital-governorate-al-juffair-945509.html,Apartment,"BHD50,000",Exclusive,City View Luxury Two Bedroom Apartment,Al Juffair,Capital Governorate,2,2,"1,141 sqft / 106 sqm",17 Aug 2025,MD Washim MD Shamsul Haque Prodhan,Arizona Homes Real Estate,11
2150,Buy,https://www.propertyfinder.bh/en/plp/buy/land-for-sale-northern-governorate-hamala-945507.html,Land,"BHD111,658",Exclusive,Corner - RHA - Easy Access - Excellent Price,Hamala,Northern Governorate,0,0,"3,853 sqft / 358 sqm",16 Aug 2025,Ahmed Alkuwaiti,Underhill Real Estate,
2151,Buy,https://www.propertyfinder.bh/en/plp/buy/villa-for-sale-capital-governorate-manama-mahooz-945506.html,Villa,"BHD350,000",Exclusive,Luxurious - Prime Location - Private Pool,"Mahooz, Manama",Capital Governorate,4+ Maid,5,"5,490 sqft / 510 sqm",16 Aug 2025,Ahmed Alkuwaiti,Underhill Real Estate,10
2152,Buy,https://www.propertyfinder.bh/en/plp/buy/land-for-sale-central-governorate-a-ali-945479.html,Land,"BHD125,177",Exclusive,Residential Two Lands for Sale in A’ali,A'Ali,Central Governorate,0,0,"4,532 sqft / 421 sqm",17 Aug 2025,Mahmood Al-Shaikh,Majestic Properties,
2153,Buy,https://www.propertyfinder.bh/en/plp/buy/villa-for-sale-northern-governorate-dumistan-945476.html,Villa,"BHD128,000",Exclusive,Distinctive Villa for Sale In Damistan,Dumistan,Northern Governorate,4+ Maid,6,"2,153 sqft / 200 sqm",17 Aug 2025,Noaman Al Shajar,Effects Services,2
2154,Buy,https://www.propertyfinder.bh/en/plp/buy/apartment-for-sale-muharraq-governorate-diyar-al-muharraq-marassi-al-bahrain-945475.html,Apartment,"BHD59,000",Exclusive,For Sale LUXURIOUS Apartment in Marassi Galleria,"Marassi Al Bahrain, Diyar Al Muharraq",Muharraq Governorate,1,1,646 sqft / 60 sqm,17 Aug 2025,Ali Almalek,Best Spot Real Estate,8
2155,Buy,https://www.propertyfinder.bh/en/plp/buy/villa-for-sale-northern-governorate-bu-quwah-saraya-2-945473.html,Villa,"BHD145,000",Exclusive,Distinctive Villa for Sale in Saraya - Bu Quwah,"Saraya 2, Bu Quwah",Northern Governorate,5+ Maid,6,"2,271 sqft / 211 sqm",17 Aug 2025,Noaman Al Shajar,Effects Services,2
2156,Buy,https://www.propertyfinder.bh/en/plp/buy/villa-for-sale-central-governorate-tubli-945471.html,Villa,"BHD155,000",Exclusive,Luxury Villa for Sale In Tubli,Tubli,Central Governorate,3,5,"2,185 sqft / 203 sqm",17 Aug 2025,Hussain Al Mesbah,Effects Services,1
